source,target
Sophat's adventure creates a problem in this,ដំណើផ្សងព្រេងរបស់សុផាត បង្កើតជាបញ្ហាទាំងឡាយនៅក្នុងរឿងនេះ
"1938 is a Khmer novel, written since 1938 by the author of Rim Kin",១៩៣៨ គឺជា​កម្រង​រឿង​ប្រលោមលោក​ខ្មែរ ដែល​ត្រូវ​បាន​សរសេរ​តាំងតែ​ពី​ឆ្នាំ ១៩៣៨ មកម្ល៉េះ ដោយ​អ្នកនិពន្ធ រីម គីន
"Socrand, an orphan, and grew, knows by supporting residents and monks",​ ​	​សូផាត ដែល​ជា​កុមារ​កំព្រា​បាន​រស់​រៀនសូត្រ និង​ធំ​ដឹងក្តី ដោយ​ការជួយ​ទំនុកបម្រុង​ពី​អ្នកស្រុក និង​ព្រះសង្ឃ
After she was the mother who had been a mother passed away,បន្ទាប់ពី​នាង​សូ​យា ដែល​ត្រូវជា​ម្តាយ​បាន​លាចាក​លោក​នេះ​ទៅ
"Sophia's adventure comes to Phnom Penh, forming this",​ ​	​ដំណើរ​ផ្សងព្រេង​របស់​សូផាត​មក​កាន់​ទីក្រុង​ភ្នំពេញ បង្កើតបាន​ជា​រឿង​នេះ​ឡើង
What happened to the life journey of 'Sophip',តើ​មាន​អ្វី​កើតឡើង​ខ្លះ​ចំពោះ​ដំណើរ​ជីវិត​របស់ ’​សូផាត​”
Read the prescription as a testament to keep the children to read ...,​ ​	​សូម​អញ្ជើញ​អាន​ចុះ ជាវ​ទុក​ជា​សក្ខី​សម្រាប់​រក្សា​ទុក រក្សា​ឲ្យ​កូនៗ​ខាងក្រោយ​បាន​អាន​តទៅទៀត ...
"One day, he received a letter from the big government in Phnom Penh to go to the new country",ថ្ងៃមួយលោក សួន បានទទួលសំបុត្រពីរាជការធំដែលនៅភ្នំពេញ ផ្លាស់លោកទៅទីក្រុងដើម្បីទៅកាន់កាប់ទីរាជការថ្មីទៀត
That the government requires a good return to the country,ការ​ដែល​រាជការ តម្រូវ​ឲ្យ​ត្រឡប់ទៅស្រុកវិញជាការប្រសើរណាស់
So the governor did so had it to be happy,លោកចៅហ្វាយស្រុកគិតដូច្នេះស្រេចហើយ ក៏មានទឹកមុខរីករាយ
"God! I don't know how to think!

Mr. Park takes a small towel, which is a masterpiece, rubbing tears","ព្រះអើយ! ខ្ញុំមិនដឹងគិតយ៉ាងណាទេ!

លោក សួន យកកន្សែងតូចមួយដែលជាស្នាដៃនាង សូយា ជូតទឹកភ្នែកដែលហូររឹមៗ"
He goes into the nearby day of sadness in I,លោកអញ្ជើញចូលទៅក្នុងបន្ទប់ មាន​ដំណើរ​ធេងធោង នឹងពន់ទុក្ខសោកនៅអាត្មា
"Then the woman came in,",វេលានោះស្ត្រីម្នាក់ចូលមក
"She had a well-known Thai girl, a mid-diailed in half a balloon to notice that she was pregnant",នាងនោះមានរូបឆោមលោមពណ៌ល្អ ភាពជាស្រីថៃពាក់កណ្ដាល ស្រីខ្មែរពាក់កណ្ដាល ពោះប៉ោងបន្តិច ឲ្យ​សម្គាល់​ដឹង​ថានាងមានផ្ទៃពោះ
"She horizonts her girlfriend's chest, the exhaust, flowing down the pairs of money",នាងផ្ដេកក្បាលទៅលើទ្រូងសង្សារ នាងខ្សឹកខ្សួលអួលអាក់ ហូរ​ធ្លាក់​ទឹក​នេត្រាទាំងគូរហាម
"Mr. Park takes one hand to Boy Nokang to the other hand of the woman:

See also
 Anogora","លោក សួន យកដៃមួយចាប់ភ័ក្ត្រនួននាងផ្ទាប់នឹងឱរាលោក ដៃមួយទៀតអង្អែលកេសាស្ត្រី ពោលពាក្យល្ហឹមលេ

មើលផងដែរ
 អុី បូរ៉ា"
"Apsara (or) a spiritual soul, a woman of clouds, cloudy and water in violence and Buddhism",អប្សរាម្នាក់ ( ឬ) ជា​ព្រលឹង​ ដួង​វិញ្ញាណ​ស្ត្រី នៃ​ពពក និង​ទឹក ក្នុង​ជំនឿ​ហិន្ទូ និង ពុទ្ធសាសនា
"Apsara is the abstractive woman, they appear to be a beautiful girl who has a beautiful illness in the dance:",អប្សរា​ជា​ភាវៈ​អរូបី ពួក​គេ​លេច​ចេញ​មក​ជា​ស្ត្រី​ក្មេង​ មាន​រូបសំរស់​ស្អាត ដែល​មាន​ភាព​ប៉ិន​ប្រសប់​ក្នុង​សឝិល្បៈ​របាំ
They are the wife of the opposition as the Senior official of Indra,ពួក​គេ​ជា​ភរិយា​របស់ពួក គំធវ៌ ជា​មន្ត្រី​ជាន់​ខ្ពស់​របស់​ព្រះ​ឥន្ទ្រ
Apsara is said to be able to be held in the game in a match,អប្សរា​ត្រូវ​បាន​គេ​និយាយ​ថា អាច​ប្រែកាយ​បាន ហើយ​ជា​អ្នក​កំនត់​សំនាង​នៅ​ក្នុង​ល្បែង​ស៊ីសង
"Eycovation, manda, metus, the most famous among them","ឧរ្វសី, មេនកា, រម្ភា និង តិលោត្តម ជា​អ្នក​ល្បី​ល្បាញ​បំផុត ​ក្នុង​ចំនោម​ពួក​គេ"
